Time,runner_center_x,runner_center_y,Distance,Speed,Acceleration,Force,Power
0.0,3476.317138671875,1165.6643676757812,0.0,0.0,0.0,0.0,0.0
0.018333333333333333,3477.2691650390625,1165.2027587890625,0.0,0.0,0.0,0.0,0.0
0.034999999999999996,3477.921875,1165.08251953125,0.0,0.0,0.0,0.0,0.0
0.051666666666666666,3477.437255859375,1165.403076171875,0.0,0.0,0.0,0.0,0.0
0.06833333333333333,3477.731689453125,1166.20068359375,0.0,0.0,0.0,0.0,0.0
0.085,3477.68212890625,1165.9332885742188,0.0,0.0,0.0,0.0,0.0
0.10166666666666667,3477.3875732421875,1166.2548828125,0.0,0.0,0.0,0.0,0.0
0.11833333333333333,3477.40625,1167.1682739257812,0.0,0.0,0.0,0.0,0.0
0.135,3476.872314453125,1166.8991088867188,0.0,0.0,0.0,0.0,0.0
0.1516666666666667,3478.656494140625,1166.7372436523438,0.0,0.0,0.0,0.0,0.0
0.16833333333333336,3478.0755615234375,1166.416748046875,0.0,0.0,0.0,0.0,0.0
0.18500000000000003,3478.5377197265625,1166.276611328125,0.0,0.0,0.0,0.0,0.0
0.2016666666666667,3479.103759765625,1165.77685546875,0.0,0.0,0.0,0.0,0.0
0.21833333333333335,3479.3201904296875,1165.2239379882812,0.0,0.0,0.0,0.0,0.0
0.23666666666666672,3479.877197265625,1164.5399780273438,0.0,0.0,0.0,0.0,0.0
0.25333333333333335,3479.8935546875,1164.54638671875,0.0,0.0,0.0,0.0,0.0
0.27,3479.714599609375,1164.3831787109375,0.0,0.0,0.0,0.0,0.0
0.2866666666666667,3479.09228515625,1165.1272583007812,0.0,0.0,0.0,0.0,0.0
0.30333333333333334,3478.460205078125,1165.4049682617188,0.0,0.0,0.0,0.0,0.0
0.32,3479.11962890625,1165.3356323242188,0.0,0.0,0.0,0.0,0.0
0.33666666666666667,3479.736328125,1163.9166870117188,0.0,0.0,0.0,0.0,0.0
0.35333333333333333,3479.8822021484375,1162.5321655273438,0.0,0.0,0.0,0.0,0.0
0.37,3480.27685546875,1162.7914428710938,0.0,0.0,0.0,0.0,0.0
0.38666666666666666,3479.646240234375,1162.8147583007812,0.0,0.0,0.0,0.0,0.0
0.4033333333333333,3480.7791748046875,1162.20263671875,0.0,0.0,0.0,0.0,0.0
0.42,3481.338623046875,1162.2130737304688,0.0,0.0,0.0,0.0,0.0
0.4366666666666667,3480.5384521484375,1161.7811279296875,0.0,0.0,0.0,0.0,0.0
0.45333333333333337,3480.75390625,1161.0716552734375,0.0,0.0,0.0,0.0,0.0
0.47000000000000003,3480.57861328125,1162.3056640625,0.0,0.0,0.0,0.0,0.0
0.4866666666666667,3481.009765625,1161.9515380859375,0.0,0.0,0.0,0.0,0.0
0.5033333333333334,3481.360595703125,1162.2506713867188,0.0,0.0,0.0,0.0,0.0
0.52,3482.341796875,1162.4746704101562,0.0,0.0,0.0,0.0,0.0
0.5366666666666667,3482.1334228515625,1162.9669799804688,0.0,0.0,0.0,0.0,0.0
0.5533333333333335,3481.328125,1162.8780517578125,0.0,0.0,0.0,0.0,0.0
0.5700000000000001,3481.4827880859375,1162.3173217773438,0.0,0.0,0.0,0.0,0.0
0.5866666666666668,3481.4599609375,1162.0681762695312,0.0,0.0,0.0,0.0,0.0
0.6033333333333334,3481.8316650390625,1161.7084350585938,0.0,0.0,0.0,0.0,0.0
0.6200000000000001,3481.8572998046875,1161.2508544921875,0.0,0.0,0.0,0.0,0.0
0.6366666666666667,3481.6566162109375,1161.9827270507812,0.0,0.0,0.0,0.0,0.0
0.6533333333333334,3482.143798828125,1161.8135375976562,0.0,0.0,0.0,0.0,0.0
0.67,3483.3084716796875,1161.8123779296875,0.0,0.0,0.0,0.0,0.0
0.6866666666666668,3481.767578125,1162.4179077148438,0.0,0.0,0.0,0.0,0.0
0.7050000000000001,3481.792236328125,1162.298828125,0.0,0.0,0.0,0.0,0.0
0.7216666666666668,3482.0745849609375,1161.9458618164062,0.0,0.0,0.0,0.0,0.0
0.7383333333333334,3481.968505859375,1161.993408203125,0.0,0.0,0.0,0.0,0.0
0.7550000000000001,3482.2606201171875,1161.9459228515625,0.0,0.0,0.0,0.0,0.0
0.7716666666666667,3482.0465087890625,1161.8519287109375,0.0,0.0,0.0,0.0,0.0
0.7883333333333334,3481.7215576171875,1162.1056518554688,0.0,0.0,0.0,0.0,0.0
0.805,3482.197998046875,1162.0511474609375,0.0,0.0,0.0,0.0,0.0
0.8216666666666668,3482.38134765625,1162.047607421875,0.0,0.0,0.0,0.0,0.0
0.8383333333333334,3482.0184326171875,1162.2898559570312,0.0,0.0,0.0,0.0,0.0
0.8550000000000001,3481.7784423828125,1162.5270385742188,0.0,0.0,0.0,0.0,0.0
0.8716666666666668,3481.627197265625,1162.6995849609375,0.0,0.0,0.0,0.0,0.0
0.8883333333333334,3481.73046875,1162.5464477539062,0.0,0.0,0.0,0.0,0.0
0.9050000000000001,3481.5308837890625,1162.7134399414062,0.0,0.0,0.0,0.0,0.0
0.9216666666666667,3481.049560546875,1163.0361938476562,0.0,0.0,0.0,0.0,0.0
0.9383333333333335,3481.668212890625,1163.0696411132812,0.0,0.0,0.0,0.0,0.0
0.9550000000000001,3482.0418701171875,1163.3096313476562,0.0,0.0,0.0,0.0,0.0
0.9716666666666668,3482.281005859375,1163.9319458007812,0.0,0.0,0.0,0.0,0.0
0.9883333333333334,3482.1302490234375,1163.564697265625,0.0,0.0,0.0,0.0,0.0
1.0050000000000001,3481.906494140625,1164.0172119140625,0.0,0.0,0.0,0.0,0.0
1.0216666666666667,3482.094970703125,1163.9696655273438,0.0,0.0,0.0,0.0,0.0
1.0383333333333333,3482.068603515625,1163.66748046875,0.0,0.0,0.0,0.0,0.0
1.0550000000000002,3482.17431640625,1163.5154418945312,0.0,0.0,0.0,0.0,0.0
1.0716666666666668,3481.5126953125,1164.3861083984375,0.0,0.0,0.0,0.0,0.0
